recency,history_segment,history,mens,womens,newbie,segment,visit,conversion,spend,treatment,zip_code_Surburban,zip_code_Urban,channel_Phone,channel_Web,ite
9,1) $0 - $100,29.99,1,0,1,Mens E-Mail,0,0,0.0,1,True,False,True,False,0.002956697321117844
3,1) $0 - $100,29.99,1,0,0,Womens E-Mail,0,0,0.0,1,False,False,False,True,0.0017611232937819377
4,3) $200 - $350,218.72,0,1,0,Womens E-Mail,0,0,0.0,1,False,True,False,False,0.00720209664732835
1,5) $500 - $750,514.52,0,1,1,Mens E-Mail,0,0,0.0,1,True,False,False,True,0.007562756817621871
4,"6) $750 - $1,000",766.47,1,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,False,0.013851783065705794
10,1) $0 - $100,63.79,1,0,1,Womens E-Mail,0,0,0.0,1,False,False,True,False,0.002410426639240545
7,5) $500 - $750,520.43,0,1,1,Mens E-Mail,0,0,0.0,1,True,False,False,True,0.008103607074626368
11,3) $200 - $350,236.97,1,1,1,Mens E-Mail,0,0,0.0,1,False,True,True,False,0.009272460057031952
3,1) $0 - $100,99.23,1,0,0,Mens E-Mail,1,0,0.0,1,False,False,False,True,0.001970027223911091
9,3) $200 - $350,204.18,0,1,0,Womens E-Mail,0,0,0.0,1,True,False,False,True,0.0055250655679754965
2,4) $350 - $500,492.02,1,0,0,No E-Mail,0,0,0.0,0,True,False,True,False,0.001941774768670111
1,1) $0 - $100,48.32,0,1,0,No E-Mail,0,0,0.0,0,False,True,False,True,0.004696102566018711
10,1) $0 - $100,29.99,1,0,0,No E-Mail,0,0,0.0,0,True,False,True,False,0.0012451434850142
2,4) $350 - $500,391.33,1,0,0,No E-Mail,0,0,0.0,0,True,False,False,True,0.0034995704480918445
1,5) $500 - $750,729.7,1,1,1,Mens E-Mail,0,0,0.0,1,True,False,False,True,0.011410322940656687
3,2) $100 - $200,134.59,1,0,1,Womens E-Mail,1,0,0.0,1,False,True,True,False,0.0030879076413844668
10,1) $0 - $100,61.09,0,1,0,Womens E-Mail,0,0,0.0,1,True,False,False,True,0.005180518748687139
3,3) $200 - $350,203.3,0,1,0,No E-Mail,0,0,0.0,0,True,False,False,True,0.004999391318604586
9,2) $100 - $200,185.43,1,0,0,Mens E-Mail,0,0,0.0,1,False,True,False,True,0.003827179821296204
7,1) $0 - $100,29.99,0,1,1,Mens E-Mail,0,0,0.0,1,False,True,True,False,0.005100954677042201
9,1) $0 - $100,78.62,1,0,0,Mens E-Mail,0,0,0.0,1,False,True,False,True,0.0035049234842497723
12,2) $100 - $200,150.06,0,1,0,No E-Mail,0,0,0.0,0,True,False,True,False,0.0037617024038725066
6,1) $0 - $100,42.66,1,0,0,No E-Mail,0,0,0.0,0,True,False,False,True,0.002796278031287784
12,1) $0 - $100,69.08,0,1,0,Womens E-Mail,0,0,0.0,1,False,False,True,False,0.00278195923940019
3,5) $500 - $750,549.29,1,0,1,No E-Mail,0,0,0.0,0,True,False,False,False,0.007592415787725501
9,5) $500 - $750,506.83,1,0,1,Mens E-Mail,0,0,0.0,1,False,False,False,False,0.007251910476466691
3,2) $100 - $200,143.93,0,1,0,Womens E-Mail,0,0,0.0,1,True,False,True,False,0.0029586787839478387
10,2) $100 - $200,115.4,1,0,0,Mens E-Mail,0,0,0.0,1,False,True,True,False,0.0018414748790640365
2,1) $0 - $100,96.91,1,0,0,Womens E-Mail,0,0,0.0,1,True,False,True,False,0.0007496888092054965
6,1) $0 - $100,40.07,1,0,1,Mens E-Mail,0,0,0.0,1,True,False,True,False,0.0027256000772088004
11,4) $350 - $500,417.21,0,1,0,No E-Mail,0,0,0.0,0,False,True,True,False,0.004819191490975747
9,1) $0 - $100,61.57,1,0,1,Womens E-Mail,0,0,0.0,1,True,False,True,False,0.00305197730542574
5,3) $200 - $350,222.07,0,1,0,Womens E-Mail,0,0,0.0,1,True,False,True,False,0.0033687746286850053
1,3) $200 - $350,259.91,0,1,1,No E-Mail,0,0,0.0,0,True,False,False,True,0.006794573258260464
11,1) $0 - $100,53.81,1,0,1,No E-Mail,0,0,0.0,0,False,True,True,False,0.003541545325980142
9,2) $100 - $200,154.15,0,1,0,Mens E-Mail,0,0,0.0,1,True,False,False,True,0.005374120108351557
10,"7) $1,000 +",1009.44,1,0,1,Womens E-Mail,0,0,0.0,1,True,False,False,False,0.009590922931161563
2,3) $200 - $350,278.8,1,0,0,Mens E-Mail,0,0,0.0,1,False,False,False,True,0.0024246378122796267
10,1) $0 - $100,31.12,1,0,0,Womens E-Mail,0,0,0.0,1,False,True,True,False,0.0015871937809807742
2,4) $350 - $500,428.74,1,0,0,Mens E-Mail,0,0,0.0,1,False,False,True,False,0.0010154342553139995
7,5) $500 - $750,612.28,1,0,1,Womens E-Mail,0,0,0.0,1,True,False,True,False,0.004539184124780401
11,3) $200 - $350,228.09,0,1,1,No E-Mail,0,0,0.0,0,True,False,False,True,0.007570267840724897
1,5) $500 - $750,640.58,0,1,1,Mens E-Mail,0,0,0.0,1,False,True,True,False,0.006420145912305511
4,2) $100 - $200,194.11,1,0,0,No E-Mail,0,0,0.0,0,False,True,True,False,0.0015559315337800596
7,1) $0 - $100,84.49,0,1,1,No E-Mail,0,0,0.0,0,False,True,False,True,0.007126973939894661
7,3) $200 - $350,235.14,0,1,1,Mens E-Mail,0,0,0.0,1,False,True,True,False,0.005719912523171545
2,1) $0 - $100,29.99,0,1,0,Mens E-Mail,0,0,0.0,1,True,False,True,False,0.0025277406644566417
7,3) $200 - $350,272.32,1,0,1,Mens E-Mail,0,0,0.0,1,True,False,False,True,0.005375078542474773
2,1) $0 - $100,95.33,0,1,0,No E-Mail,1,0,0.0,0,True,False,False,True,0.004586465279744109
5,4) $350 - $500,494.26,1,1,1,Mens E-Mail,0,0,0.0,1,True,False,True,False,0.009187069265052203
2,"6) $750 - $1,000",809.07,1,0,1,Mens E-Mail,0,0,0.0,1,False,True,True,False,0.005035710662742884
1,1) $0 - $100,80.42,0,1,1,Womens E-Mail,0,0,0.0,1,False,True,True,False,0.004730087773929623
10,3) $200 - $350,237.85,1,0,0,Womens E-Mail,0,0,0.0,1,False,True,False,True,0.004072506014421925
2,1) $0 - $100,82.59,1,0,0,Womens E-Mail,0,0,0.0,1,True,False,True,False,0.0007064839524832341
6,2) $100 - $200,165.77,0,1,0,Womens E-Mail,1,0,0.0,1,False,True,False,True,0.005486310170971665
3,2) $100 - $200,101.61,0,1,1,No E-Mail,0,0,0.0,0,True,False,True,False,0.004629718860253517
8,1) $0 - $100,52.64,0,1,1,No E-Mail,0,0,0.0,0,True,False,False,True,0.0067794082317543
6,4) $350 - $500,466.29,1,0,1,Mens E-Mail,0,0,0.0,1,False,True,False,False,0.007942147151603664
3,2) $100 - $200,100.85,1,0,1,Mens E-Mail,0,0,0.0,1,False,True,True,False,0.0029861107233810336
3,"7) $1,000 +",1397.57,1,0,1,Mens E-Mail,0,0,0.0,1,True,False,False,False,0.010151760470711613
2,"6) $750 - $1,000",770.58,0,1,1,Mens E-Mail,0,0,0.0,1,True,False,True,False,0.006560897666490449
3,"7) $1,000 +",1973.87,1,0,1,No E-Mail,0,0,0.0,0,True,False,False,False,0.011890514585868043
3,2) $100 - $200,133.51,1,0,0,Mens E-Mail,0,0,0.0,1,False,True,False,True,0.0031475128423789035
8,1) $0 - $100,31.52,0,1,0,Mens E-Mail,0,0,0.0,1,True,False,False,True,0.004916963399131557
1,1) $0 - $100,47.44,0,1,0,Womens E-Mail,0,0,0.0,1,False,True,True,False,0.0028318601479600885
1,2) $100 - $200,106.27,0,1,0,Womens E-Mail,0,0,0.0,1,True,False,False,True,0.004532302475020802
11,3) $200 - $350,215.46,0,1,0,Womens E-Mail,0,0,0.0,1,False,True,False,True,0.006072079152216483
11,2) $100 - $200,189.25,0,1,1,No E-Mail,0,0,0.0,0,False,True,True,False,0.00593013732133723
10,2) $100 - $200,108.12,1,0,0,Womens E-Mail,0,0,0.0,1,False,True,False,True,0.003681097769828408
8,1) $0 - $100,66.14,1,0,1,No E-Mail,0,0,0.0,0,True,False,True,False,0.0029785955804984663
8,1) $0 - $100,98.56,1,0,1,Womens E-Mail,0,0,0.0,1,True,False,False,True,0.004937997298907658
6,2) $100 - $200,129.14,1,0,0,Womens E-Mail,0,0,0.0,1,True,False,False,True,0.003057196747023908
2,4) $350 - $500,493.17,0,1,0,Womens E-Mail,0,0,0.0,1,True,False,False,True,0.005786787919296137
11,2) $100 - $200,146.04,0,1,1,Mens E-Mail,0,0,0.0,1,True,False,True,False,0.005461127502265012
12,1) $0 - $100,29.99,0,1,1,No E-Mail,0,0,0.0,0,False,True,False,True,0.007398391383297819
2,1) $0 - $100,66.6,1,0,1,Womens E-Mail,0,0,0.0,1,False,True,True,False,0.002795605217870084
12,2) $100 - $200,129.73,1,0,0,Womens E-Mail,0,0,0.0,1,True,False,False,True,0.0035819960377042144
4,1) $0 - $100,54.41,0,1,1,Womens E-Mail,0,0,0.0,1,False,True,True,False,0.0049131226318340805
9,"7) $1,000 +",1172.42,1,1,1,Mens E-Mail,0,0,0.0,1,True,False,False,True,0.013443411916740113
5,3) $200 - $350,244.34,0,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,True,0.007434917470250464
2,3) $200 - $350,287.04,1,1,1,Womens E-Mail,0,0,0.0,1,False,True,True,False,0.008638997397148566
4,1) $0 - $100,29.99,0,1,1,Womens E-Mail,0,0,0.0,1,False,True,False,True,0.0067010324468847965
9,2) $100 - $200,151.01,1,0,0,No E-Mail,0,0,0.0,0,True,False,False,True,0.003384690301846101
11,1) $0 - $100,35.43,1,0,1,Mens E-Mail,0,0,0.0,1,False,True,True,False,0.0034860910475894165
5,1) $0 - $100,84.17,1,0,1,Womens E-Mail,0,0,0.0,1,False,True,False,True,0.004971712618277344
3,3) $200 - $350,313.6,0,1,0,No E-Mail,0,0,0.0,0,True,False,True,False,0.003470589959930124
1,2) $100 - $200,117.27,0,1,0,Mens E-Mail,0,0,0.0,1,False,False,True,False,0.0019684846994192863
5,1) $0 - $100,29.99,0,1,0,No E-Mail,0,0,0.0,0,True,False,False,True,0.004650837636609002
3,"7) $1,000 +",1167.93,1,1,1,Womens E-Mail,0,0,0.0,1,False,False,False,True,0.012171427447352296
3,5) $500 - $750,683.2,1,1,1,No E-Mail,0,0,0.0,0,False,False,False,False,0.012439319903452858
1,2) $100 - $200,110.07,0,1,0,Mens E-Mail,0,0,0.0,1,False,True,False,True,0.004882408425138804
1,2) $100 - $200,102.94,1,0,0,Womens E-Mail,0,0,0.0,1,False,True,False,True,0.002880940393890203
2,1) $0 - $100,29.99,0,1,0,Mens E-Mail,0,0,0.0,1,False,True,False,True,0.004727969009626269
11,2) $100 - $200,160.04,1,0,0,Mens E-Mail,0,0,0.0,1,False,False,False,True,0.0028508559464470737
1,4) $350 - $500,418.68,0,1,0,No E-Mail,0,0,0.0,0,True,False,False,True,0.005474874352716482
11,3) $200 - $350,316.23,1,0,1,Mens E-Mail,0,0,0.0,1,False,True,True,False,0.004333292428009207
12,3) $200 - $350,253.06,0,1,0,Womens E-Mail,0,0,0.0,1,True,False,True,False,0.004072463593983755
9,3) $200 - $350,329.96,0,1,1,No E-Mail,0,0,0.0,0,True,False,True,False,0.0058416926039409865
7,2) $100 - $200,185.73,1,0,0,Mens E-Mail,0,0,0.0,1,True,False,True,False,0.001453516871703257
11,1) $0 - $100,52.08,0,1,0,Womens E-Mail,0,0,0.0,1,False,True,False,True,0.005579145528523515
1,5) $500 - $750,616.73,0,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,True,0.008209775473748102
9,2) $100 - $200,123.39,1,0,0,Womens E-Mail,0,0,0.0,1,False,True,True,False,0.001778411632488029
3,3) $200 - $350,249.71,1,0,0,No E-Mail,0,0,0.0,0,True,False,True,False,0.0012978713932376945
2,1) $0 - $100,46.09,0,1,0,No E-Mail,0,0,0.0,0,False,True,False,True,0.004776544302449483
8,1) $0 - $100,48.87,1,0,1,Mens E-Mail,0,0,0.0,1,True,False,False,True,0.00478807765292098
10,1) $0 - $100,77.37,1,0,0,Womens E-Mail,0,0,0.0,1,True,False,True,False,0.0013880936324653747
4,3) $200 - $350,270.24,1,0,1,No E-Mail,0,0,0.0,0,False,True,True,False,0.0035843469787136743
9,3) $200 - $350,228.8,1,0,0,Mens E-Mail,1,0,0.0,1,True,False,False,False,0.005349761249804715
3,1) $0 - $100,80.18,0,1,0,Womens E-Mail,0,0,0.0,1,False,True,True,False,0.0031049797011336567
11,2) $100 - $200,131.76,0,1,1,Womens E-Mail,1,0,0.0,1,True,False,False,True,0.007279630700497552
9,2) $100 - $200,162.59,0,1,0,Mens E-Mail,1,0,0.0,1,False,True,True,False,0.003876638026521753
12,1) $0 - $100,87.62,1,0,1,Mens E-Mail,0,0,0.0,1,False,True,True,False,0.0037307233079605195
3,1) $0 - $100,29.99,1,0,0,Mens E-Mail,0,0,0.0,1,True,False,True,False,0.000634954415652807
3,1) $0 - $100,29.99,0,1,0,Womens E-Mail,0,0,0.0,1,False,True,False,True,0.004815138876677896
7,1) $0 - $100,59.96,1,0,1,Womens E-Mail,0,0,0.0,1,False,True,False,True,0.005073008387209791
7,1) $0 - $100,78.49,0,1,0,Womens E-Mail,0,0,0.0,1,False,False,False,True,0.004236088176100178
2,1) $0 - $100,29.99,0,1,0,Mens E-Mail,0,0,0.0,1,True,False,True,False,0.0025277406644566417
7,3) $200 - $350,206.8,1,0,0,Womens E-Mail,0,0,0.0,1,True,False,True,False,0.0015170871462240726
7,3) $200 - $350,229.53,1,0,0,Mens E-Mail,1,0,0.0,1,True,False,False,True,0.0034472531759713433
1,4) $350 - $500,439.93,1,1,1,No E-Mail,0,0,0.0,0,False,False,False,False,0.011531010511889764
10,3) $200 - $350,313.67,1,0,1,Womens E-Mail,1,0,0.0,1,False,False,True,False,0.0031643393206482987
7,1) $0 - $100,29.99,1,0,1,Womens E-Mail,0,0,0.0,1,True,False,False,True,0.004643944958012067
3,1) $0 - $100,57.33,0,1,0,Womens E-Mail,1,0,0.0,1,True,False,False,True,0.004558985387337218
2,3) $200 - $350,289.55,0,1,0,No E-Mail,1,0,0.0,0,False,False,True,False,0.0025754403706686403
5,1) $0 - $100,29.99,0,1,1,Mens E-Mail,1,0,0.0,1,True,False,True,False,0.004587973968766796
9,3) $200 - $350,274.29,1,0,0,No E-Mail,0,0,0.0,0,True,False,False,True,0.0037566382583210005
1,3) $200 - $350,293.37,1,0,0,No E-Mail,0,0,0.0,0,True,False,True,False,0.0012552581985544107
12,1) $0 - $100,29.99,1,0,1,No E-Mail,0,0,0.0,0,False,True,True,False,0.003556847896444878
1,4) $350 - $500,407.09,1,0,0,No E-Mail,0,0,0.0,0,True,False,False,True,0.003459950060226171
1,2) $100 - $200,142.4,0,1,0,No E-Mail,0,0,0.0,0,True,False,True,False,0.0027797228884769106
1,1) $0 - $100,29.99,0,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,True,0.006439522845729914
12,3) $200 - $350,284.54,1,1,0,Mens E-Mail,0,0,0.0,1,True,False,False,True,0.009227376014002102
2,1) $0 - $100,60.2,0,1,1,No E-Mail,0,0,0.0,0,True,False,False,True,0.006279198297378914
4,"7) $1,000 +",1089.77,1,0,1,Mens E-Mail,0,0,0.0,1,False,True,False,False,0.009648908260321387
7,1) $0 - $100,29.99,1,0,1,Womens E-Mail,0,0,0.0,1,True,False,False,True,0.004643944958012067
1,5) $500 - $750,747.31,0,1,1,Womens E-Mail,0,0,0.0,1,False,False,False,True,0.007529688785394276
6,2) $100 - $200,136.63,1,0,1,Womens E-Mail,0,0,0.0,1,False,True,False,True,0.005217159495360389
10,1) $0 - $100,29.99,1,0,1,Womens E-Mail,0,0,0.0,1,False,False,False,True,0.004170036066298603
11,1) $0 - $100,54.11,1,0,1,Womens E-Mail,0,0,0.0,1,False,True,False,True,0.005404037826657555
1,"6) $750 - $1,000",790.36,1,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,False,0.013662351958063122
4,1) $0 - $100,36.49,1,0,1,No E-Mail,0,0,0.0,0,False,True,False,True,0.004740687474094606
12,3) $200 - $350,271.89,1,0,0,Mens E-Mail,0,0,0.0,1,False,False,False,True,0.003275488329168052
5,4) $350 - $500,399.46,1,0,0,Womens E-Mail,0,0,0.0,1,True,False,False,True,0.003785609063572985
3,1) $0 - $100,39.83,0,1,1,Mens E-Mail,1,0,0.0,1,False,True,True,False,0.004781963462337582
10,2) $100 - $200,153.58,1,0,0,Womens E-Mail,0,0,0.0,1,True,False,True,False,0.0016180267421583672
5,3) $200 - $350,269.99,1,1,0,Mens E-Mail,0,0,0.0,1,True,False,True,False,0.006711700784166351
2,1) $0 - $100,29.99,1,0,1,Womens E-Mail,0,0,0.0,1,False,True,False,True,0.004546736596926078
4,3) $200 - $350,292.61,1,0,0,No E-Mail,0,0,0.0,0,True,False,False,False,0.005106432997468894
2,5) $500 - $750,576.02,0,1,1,Womens E-Mail,0,0,0.0,1,True,False,False,True,0.00783547826906031
6,1) $0 - $100,29.99,1,0,0,No E-Mail,0,0,0.0,0,True,False,False,True,0.0027580513878051674
9,2) $100 - $200,116.3,1,0,1,Mens E-Mail,1,0,0.0,1,False,False,False,True,0.004343272008164469
5,1) $0 - $100,29.99,1,0,0,No E-Mail,0,0,0.0,0,True,False,False,True,0.002670881520753539
3,1) $0 - $100,29.99,0,1,1,No E-Mail,0,0,0.0,0,False,True,False,True,0.006613862579833167
7,"6) $750 - $1,000",968.65,1,1,1,Womens E-Mail,0,0,0.0,1,True,False,False,True,0.012654277933035215
7,1) $0 - $100,39.78,0,1,0,Mens E-Mail,0,0,0.0,1,True,False,False,True,0.004854714769267492
9,3) $200 - $350,311.81,1,0,0,Womens E-Mail,1,0,0.0,1,False,True,False,False,0.005938851606415065
1,5) $500 - $750,720.17,1,1,1,Mens E-Mail,0,0,0.0,1,False,True,True,False,0.009858623590998733
4,1) $0 - $100,69.08,0,1,0,Mens E-Mail,0,0,0.0,1,False,True,True,False,0.0031586597700276648
12,1) $0 - $100,80.56,1,0,0,Womens E-Mail,0,0,0.0,1,False,True,False,True,0.0037722862573349066
1,3) $200 - $350,301.19,1,0,1,No E-Mail,0,0,0.0,0,True,False,False,True,0.00493916298636415
10,3) $200 - $350,307.64,0,1,0,Mens E-Mail,0,0,0.0,1,False,True,False,False,0.007993396286771048
7,4) $350 - $500,481.56,1,0,0,Mens E-Mail,0,0,0.0,1,True,False,False,True,0.004207652620085303
10,1) $0 - $100,29.99,0,1,0,No E-Mail,0,0,0.0,0,True,False,False,True,0.005086686971867141
1,"6) $750 - $1,000",895.43,0,1,1,Womens E-Mail,0,0,0.0,1,True,False,False,True,0.008711999972236194
5,4) $350 - $500,425.1,1,0,1,Mens E-Mail,0,0,0.0,1,False,False,True,False,0.0030646853195076007
10,1) $0 - $100,36.28,1,0,1,No E-Mail,0,0,0.0,0,False,True,False,True,0.005263073085628418
4,4) $350 - $500,413.46,0,1,0,Womens E-Mail,0,0,0.0,1,False,False,True,False,0.00312362883357466
7,1) $0 - $100,32.42,1,0,0,No E-Mail,0,0,0.0,0,True,False,True,False,0.0009909654342667965
10,2) $100 - $200,170.32,1,0,1,Womens E-Mail,0,0,0.0,1,False,True,True,False,0.0038058976556261995
1,2) $100 - $200,150.93,1,0,0,No E-Mail,0,0,0.0,0,True,False,False,True,0.00268708999751843
11,3) $200 - $350,223.39,1,0,1,Womens E-Mail,0,0,0.0,1,False,False,True,False,0.0029791254960179502
1,5) $500 - $750,506.51,1,0,1,No E-Mail,0,0,0.0,0,False,True,False,False,0.007627645535435567
8,5) $500 - $750,575.62,1,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,False,0.01362464920252656
3,1) $0 - $100,29.99,0,1,0,Womens E-Mail,1,0,0.0,1,True,False,False,True,0.004476497902505747
2,2) $100 - $200,145.76,0,1,1,No E-Mail,1,0,0.0,0,True,False,False,True,0.006537341282096568
1,1) $0 - $100,29.99,1,0,1,Womens E-Mail,0,0,0.0,1,False,False,True,False,0.001523919891836477
8,4) $350 - $500,428.0,1,0,1,No E-Mail,0,0,0.0,0,True,False,False,False,0.007662321193385646
6,5) $500 - $750,604.39,1,1,1,No E-Mail,0,0,0.0,0,False,True,True,False,0.009945153211780366
8,2) $100 - $200,171.88,1,0,0,No E-Mail,0,0,0.0,0,True,False,True,False,0.001498899918531188
4,4) $350 - $500,370.86,0,1,0,Womens E-Mail,0,0,0.0,1,True,False,False,False,0.007322477104840911
8,2) $100 - $200,138.62,0,1,1,Womens E-Mail,0,0,0.0,1,False,True,False,True,0.007377459372196014
7,1) $0 - $100,29.99,1,0,1,Mens E-Mail,0,0,0.0,1,True,False,False,True,0.004643944958012067
1,3) $200 - $350,209.98,1,0,0,No E-Mail,1,0,0.0,0,True,False,False,True,0.002865249689519102
3,2) $100 - $200,166.0,0,1,0,No E-Mail,0,0,0.0,0,False,True,False,True,0.0052254945025714
10,1) $0 - $100,88.37,0,1,0,Womens E-Mail,1,1,29.99,1,False,True,True,False,0.0037398788107572945
8,3) $200 - $350,336.76,0,1,0,Mens E-Mail,0,0,0.0,1,True,False,True,False,0.003976315306479296
1,1) $0 - $100,60.71,0,1,1,Womens E-Mail,0,0,0.0,1,False,False,True,False,0.0035965612869173513
4,4) $350 - $500,356.73,0,1,0,No E-Mail,0,0,0.0,0,True,False,False,True,0.005549474674964648
4,1) $0 - $100,52.12,1,0,0,Mens E-Mail,0,0,0.0,1,False,True,True,False,0.0011275336562665051
7,4) $350 - $500,406.7,0,1,1,Mens E-Mail,0,0,0.0,1,True,False,True,False,0.005898885041965278
6,3) $200 - $350,277.81,1,0,1,No E-Mail,0,0,0.0,0,True,False,False,False,0.007034843370517262
1,2) $100 - $200,181.98,0,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,True,0.006898091712574655
2,2) $100 - $200,112.13,1,0,1,Womens E-Mail,0,0,0.0,1,False,True,False,True,0.004794561103292466
5,1) $0 - $100,29.99,0,1,1,No E-Mail,0,0,0.0,0,False,False,False,True,0.005714142846895928
5,4) $350 - $500,439.26,1,0,0,Womens E-Mail,0,0,0.0,1,True,False,False,False,0.00563606042306241
8,1) $0 - $100,64.16,0,1,0,Womens E-Mail,0,0,0.0,1,True,False,False,True,0.005015441508308558
5,1) $0 - $100,29.99,0,1,0,No E-Mail,1,0,0.0,0,True,False,False,True,0.004650837636609002
6,1) $0 - $100,29.99,0,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,True,0.0068753721809880495
2,5) $500 - $750,591.95,0,1,1,Womens E-Mail,0,0,0.0,1,False,True,False,False,0.009952552451188337
8,2) $100 - $200,130.31,1,0,1,No E-Mail,0,0,0.0,0,True,False,True,False,0.003172202819036706
3,1) $0 - $100,65.26,1,0,0,Mens E-Mail,1,0,0.0,1,False,True,False,True,0.002941595840193538
10,2) $100 - $200,132.46,1,0,0,Womens E-Mail,0,0,0.0,1,False,True,True,False,0.001892946586863045
4,3) $200 - $350,225.89,1,1,1,Womens E-Mail,0,0,0.0,1,False,False,False,True,0.009416369435448583
2,2) $100 - $200,115.56,0,1,1,No E-Mail,0,0,0.0,0,True,False,False,True,0.006446224894316376
8,2) $100 - $200,104.94,0,1,0,No E-Mail,0,0,0.0,0,False,True,True,False,0.0036155324059758197
7,1) $0 - $100,69.44,1,0,0,Mens E-Mail,1,0,0.0,1,False,False,False,True,0.00222882731489999
10,1) $0 - $100,47.47,0,1,0,Womens E-Mail,0,0,0.0,1,True,False,True,False,0.0032778384902205815
1,3) $200 - $350,215.08,0,1,0,Womens E-Mail,1,0,0.0,1,True,False,False,True,0.0048605930099334714
2,3) $200 - $350,224.89,1,1,0,No E-Mail,0,0,0.0,0,False,True,False,False,0.010244719188248725
9,3) $200 - $350,201.75,1,1,0,Womens E-Mail,0,0,0.0,1,True,False,True,False,0.0068544934211768275
