rank,recency,history_segment,history,mens,womens,newbie,segment,visit,conversion,spend,treatment,zip_code_Surburban,zip_code_Urban,channel_Phone,channel_Web,ite,allocated,discount_tier,tier_cost,ite_multiplier,expected_incremental_conversion
12,1,"7) $1,000 +",1946.37,1,1,1,Mens E-Mail,1,0,0.0,1,False,True,False,False,0.017150148495737916,1,low,5.0,1.0,0.017150148495737916
13,1,"7) $1,000 +",1865.48,1,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,False,0.016906095363037926,1,low,5.0,1.0,0.016906095363037926
14,1,"7) $1,000 +",1953.9,1,1,1,Womens E-Mail,0,0,0.0,1,True,False,False,False,0.016834226276532152,1,low,5.0,1.0,0.016834226276532152
15,1,"7) $1,000 +",3003.48,1,1,1,No E-Mail,0,0,0.0,0,False,True,True,False,0.01674759575597848,1,low,5.0,1.0,0.01674759575597848
16,3,"7) $1,000 +",2079.58,1,1,1,Womens E-Mail,0,0,0.0,1,False,False,False,False,0.016652336511681444,1,low,5.0,1.0,0.016652336511681444
17,3,"7) $1,000 +",1716.48,1,1,1,Womens E-Mail,0,0,0.0,1,False,True,False,False,0.016630887356106464,1,low,5.0,1.0,0.016630887356106464
18,2,"7) $1,000 +",1840.85,1,1,1,No E-Mail,1,0,0.0,0,True,False,False,False,0.016580313109194684,1,low,5.0,1.0,0.016580313109194684
19,1,"7) $1,000 +",2766.42,0,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,False,0.016425973701235795,1,low,5.0,1.0,0.016425973701235795
20,9,"7) $1,000 +",1465.25,1,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,False,0.016395920793448766,1,low,5.0,1.0,0.016395920793448766
21,5,"7) $1,000 +",1667.27,1,1,1,Mens E-Mail,0,0,0.0,1,True,False,False,False,0.016318114677538787,1,low,5.0,1.0,0.016318114677538787
22,1,"7) $1,000 +",1761.53,1,1,1,No E-Mail,0,0,0.0,0,True,False,False,False,0.016253826954768066,1,low,5.0,1.0,0.016253826954768066
23,4,"7) $1,000 +",1530.06,1,1,1,Womens E-Mail,0,0,0.0,1,False,True,False,False,0.016155609640046066,1,low,5.0,1.0,0.016155609640046066
24,1,"7) $1,000 +",1613.77,1,1,1,Womens E-Mail,1,0,0.0,1,False,True,False,False,0.016146661390582566,1,low,5.0,1.0,0.016146661390582566
25,1,"7) $1,000 +",1596.15,1,1,1,No E-Mail,0,0,0.0,0,False,True,False,False,0.01609350010738101,1,low,5.0,1.0,0.01609350010738101
26,2,"7) $1,000 +",1659.68,1,1,1,No E-Mail,1,0,0.0,0,True,False,False,False,0.016033705295481534,1,low,5.0,1.0,0.016033705295481534
27,1,"7) $1,000 +",1570.2,1,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,False,0.016015206390066577,1,low,5.0,1.0,0.016015206390066577
28,2,"7) $1,000 +",1643.83,1,1,1,No E-Mail,0,0,0.0,0,True,False,False,False,0.015985884277391598,1,low,5.0,1.0,0.015985884277391598
29,1,"7) $1,000 +",1657.03,1,1,1,Womens E-Mail,0,0,0.0,1,True,False,False,False,0.01593854011625714,1,low,5.0,1.0,0.01593854011625714
30,3,"7) $1,000 +",1486.76,1,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,False,0.015937799389190387,1,low,5.0,1.0,0.015937799389190387
31,1,"7) $1,000 +",1655.63,1,1,1,Womens E-Mail,0,0,0.0,1,True,False,False,False,0.015934316177750773,1,low,5.0,1.0,0.015934316177750773
32,1,"7) $1,000 +",2728.69,1,1,1,Mens E-Mail,1,0,0.0,1,False,True,True,False,0.015918527140146736,1,low,5.0,1.0,0.015918527140146736
33,3,"7) $1,000 +",1829.32,1,1,1,Mens E-Mail,0,0,0.0,1,False,False,False,False,0.015897277332679108,1,low,5.0,1.0,0.015897277332679108
34,1,"7) $1,000 +",1516.24,1,1,1,No E-Mail,1,0,0.0,0,False,True,False,False,0.01585240373163548,1,low,5.0,1.0,0.01585240373163548
35,1,"7) $1,000 +",1862.61,1,1,1,Womens E-Mail,0,0,0.0,1,False,False,False,False,0.01582337682205938,1,low,5.0,1.0,0.01582337682205938
36,9,"7) $1,000 +",1380.72,1,1,1,No E-Mail,0,0,0.0,0,True,False,False,False,0.015802244446460074,1,low,5.0,1.0,0.015802244446460074
37,1,"7) $1,000 +",1493.6,1,1,1,No E-Mail,0,0,0.0,0,False,True,False,False,0.01578409661178967,1,low,5.0,1.0,0.01578409661178967
38,1,"7) $1,000 +",1843.47,1,1,1,Mens E-Mail,0,0,0.0,1,False,False,False,False,0.015765629548479484,1,low,5.0,1.0,0.015765629548479484
39,2,"7) $1,000 +",1552.79,1,1,1,No E-Mail,0,0,0.0,0,True,False,False,False,0.015711207590520453,1,low,5.0,1.0,0.015711207590520453
40,3,"7) $1,000 +",1767.39,1,1,1,Womens E-Mail,0,0,0.0,1,False,False,False,False,0.015710428395751052,1,low,5.0,1.0,0.015710428395751052
41,1,"7) $1,000 +",1458.7,1,1,1,Womens E-Mail,0,0,0.0,1,False,True,False,False,0.015678799859023818,1,low,5.0,1.0,0.015678799859023818
42,9,"7) $1,000 +",1214.07,1,1,1,Mens E-Mail,1,0,0.0,1,False,True,False,False,0.01563808588342796,1,low,5.0,1.0,0.01563808588342796
43,2,"7) $1,000 +",1411.83,1,1,1,No E-Mail,0,0,0.0,0,False,True,False,False,0.01562455829908016,1,low,5.0,1.0,0.01562455829908016
44,1,"7) $1,000 +",1551.66,1,1,1,No E-Mail,1,0,0.0,0,True,False,False,False,0.015620628401674401,1,low,5.0,1.0,0.015620628401674401
45,2,"7) $1,000 +",1403.78,1,1,1,No E-Mail,1,0,0.0,0,False,True,False,False,0.015600270652668554,1,low,5.0,1.0,0.015600270652668554
46,3,"7) $1,000 +",1480.47,1,1,1,No E-Mail,0,0,0.0,0,True,False,False,False,0.01558018086272892,1,low,5.0,1.0,0.01558018086272892
47,1,"7) $1,000 +",1425.75,1,1,1,Womens E-Mail,0,0,0.0,1,False,True,False,False,0.01557938644917755,1,low,5.0,1.0,0.01557938644917755
48,1,"7) $1,000 +",1424.81,1,1,1,No E-Mail,0,0,0.0,0,False,True,False,False,0.015576550376180418,1,low,5.0,1.0,0.015576550376180418
49,1,"7) $1,000 +",3040.2,0,1,1,Womens E-Mail,0,0,0.0,1,False,True,False,True,0.015521624225193795,1,low,5.0,1.0,0.015521624225193795
50,1,"7) $1,000 +",1515.82,1,1,1,Womens E-Mail,1,1,499.0,1,True,False,False,False,0.01551249557591142,1,low,5.0,1.0,0.01551249557591142
51,4,"7) $1,000 +",1425.53,1,1,1,Mens E-Mail,0,0,0.0,1,True,False,False,False,0.015501591314394996,1,low,5.0,1.0,0.015501591314394996
52,2,"7) $1,000 +",1367.77,1,1,1,No E-Mail,1,0,0.0,0,False,True,False,False,0.015491624920086943,1,low,5.0,1.0,0.015491624920086943
53,3,"7) $1,000 +",1694.68,1,1,1,No E-Mail,1,1,86.78,0,False,False,False,False,0.015491055132323977,1,low,5.0,1.0,0.015491055132323977
54,12,"7) $1,000 +",1071.42,1,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,False,0.01546920632177343,1,low,5.0,1.0,0.01546920632177343
55,1,"7) $1,000 +",1500.19,1,1,1,Womens E-Mail,0,0,0.0,1,True,False,False,False,0.01546533831958677,1,low,5.0,1.0,0.01546533831958677
56,3,"7) $1,000 +",1328.17,1,1,1,No E-Mail,1,0,0.0,0,False,True,False,False,0.01545931766938706,1,low,5.0,1.0,0.01545931766938706
57,4,"7) $1,000 +",1290.15,1,1,1,Womens E-Mail,0,0,0.0,1,False,True,False,False,0.015431777435001508,1,low,5.0,1.0,0.015431777435001508
58,4,"7) $1,000 +",1288.83,1,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,False,0.015427794864409788,1,low,5.0,1.0,0.015427794864409788
59,4,"7) $1,000 +",1286.17,1,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,False,0.015419769381247693,1,low,5.0,1.0,0.015419769381247693
60,2,"7) $1,000 +",1914.85,1,1,1,Womens E-Mail,0,0,0.0,1,False,True,False,True,0.015411848582466341,1,low,5.0,1.0,0.015411848582466341
61,2,"7) $1,000 +",1451.17,1,1,1,No E-Mail,0,0,0.0,0,True,False,False,False,0.01540460999693691,1,low,5.0,1.0,0.01540460999693691
62,1,"7) $1,000 +",1716.01,1,1,1,No E-Mail,0,0,0.0,0,False,False,False,False,0.015381070118464148,1,low,5.0,1.0,0.015381070118464148
63,2,"7) $1,000 +",1330.49,1,1,1,No E-Mail,0,0,0.0,0,False,True,False,False,0.015379147471860269,1,low,5.0,1.0,0.015379147471860269
64,6,"7) $1,000 +",1322.18,1,1,1,Womens E-Mail,0,0,0.0,1,True,False,False,False,0.015364113873760412,1,low,5.0,1.0,0.015364113873760412
65,1,"7) $1,000 +",1466.51,1,1,1,No E-Mail,0,0,0.0,0,True,False,False,False,0.015363722427519327,1,low,5.0,1.0,0.015363722427519327
66,4,"7) $1,000 +",1378.95,1,1,1,No E-Mail,0,0,0.0,0,True,False,False,False,0.015361054846090317,1,low,5.0,1.0,0.015361054846090317
67,11,"7) $1,000 +",1174.73,1,1,1,Mens E-Mail,1,0,0.0,1,True,False,False,False,0.015355091971330165,1,low,5.0,1.0,0.015355091971330165
68,4,"7) $1,000 +",1834.13,1,1,1,No E-Mail,1,0,0.0,0,False,True,False,True,0.015342648090688239,1,low,5.0,1.0,0.015342648090688239
69,2,"7) $1,000 +",2002.47,1,1,1,Womens E-Mail,0,0,0.0,1,True,False,False,True,0.015337565816814069,1,low,5.0,1.0,0.015337565816814069
70,1,"7) $1,000 +",1344.78,1,1,1,Womens E-Mail,0,0,0.0,1,False,True,False,False,0.01533509194856291,1,low,5.0,1.0,0.01533509194856291
71,2,"7) $1,000 +",1426.46,1,1,1,Mens E-Mail,1,0,0.0,1,True,False,False,False,0.015330057482299542,1,low,5.0,1.0,0.015330057482299542
72,6,"7) $1,000 +",1299.52,1,1,1,No E-Mail,0,0,0.0,0,True,False,False,False,0.015295746411935937,1,low,5.0,1.0,0.015295746411935937
73,10,"7) $1,000 +",1065.03,1,1,1,Mens E-Mail,1,0,0.0,1,False,True,False,False,0.015275587325487543,1,low,5.0,1.0,0.015275587325487543
74,4,"7) $1,000 +",1345.49,1,1,1,No E-Mail,0,0,0.0,0,True,False,False,False,0.015260102715788159,1,low,5.0,1.0,0.015260102715788159
75,2,"7) $1,000 +",1403.07,1,1,1,Womens E-Mail,0,0,0.0,1,True,False,False,False,0.01525948753825389,1,low,5.0,1.0,0.01525948753825389
76,2,"7) $1,000 +",1640.42,1,1,1,Mens E-Mail,0,0,0.0,1,False,False,False,False,0.015240177477161318,1,low,5.0,1.0,0.015240177477161318
77,1,"7) $1,000 +",1424.3,1,1,1,Mens E-Mail,0,0,0.0,1,True,False,False,False,0.015236370681552376,1,low,5.0,1.0,0.015236370681552376
78,1,"7) $1,000 +",1309.92,1,1,1,No E-Mail,0,0,0.0,0,False,True,False,False,0.015229915879754384,1,low,5.0,1.0,0.015229915879754384
79,12,"6) $750 - $1,000",991.76,1,1,1,Mens E-Mail,1,0,0.0,1,False,True,False,False,0.015228864220761175,1,low,5.0,1.0,0.015228864220761175
80,1,"7) $1,000 +",1309.03,1,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,False,0.015227230661703908,1,low,5.0,1.0,0.015227230661703908
81,3,"7) $1,000 +",1247.75,1,1,1,No E-Mail,0,0,0.0,0,False,True,False,False,0.015216682573185637,1,low,5.0,1.0,0.015216682573185637
82,10,"7) $1,000 +",1730.73,1,1,1,Womens E-Mail,0,0,0.0,1,True,False,False,True,0.015215058289141357,1,low,5.0,1.0,0.015215058289141357
83,1,"7) $1,000 +",1416.06,1,1,1,No E-Mail,0,0,0.0,0,True,False,False,False,0.015211509786343476,1,low,5.0,1.0,0.015211509786343476
84,1,"7) $1,000 +",1411.37,1,1,1,No E-Mail,0,0,0.0,0,True,False,False,False,0.01519735959234715,1,low,5.0,1.0,0.01519735959234715
85,10,"7) $1,000 +",1148.64,1,1,1,Womens E-Mail,0,0,0.0,1,True,False,False,False,0.015189205993113465,1,low,5.0,1.0,0.015189205993113465
86,4,"7) $1,000 +",1317.57,1,1,1,Mens E-Mail,1,1,29.99,1,True,False,False,False,0.015175865313575478,1,low,5.0,1.0,0.015175865313575478
87,4,"7) $1,000 +",1315.84,1,1,1,Womens E-Mail,1,0,0.0,1,True,False,False,False,0.015170645732421183,1,low,5.0,1.0,0.015170645732421183
88,2,"7) $1,000 +",1616.97,1,1,1,No E-Mail,0,0,0.0,0,False,False,False,False,0.015169426507179678,1,low,5.0,1.0,0.015169426507179678
89,1,"7) $1,000 +",1400.87,1,1,1,Mens E-Mail,1,1,47.98,1,True,False,False,False,0.0151656800535494,1,low,5.0,1.0,0.0151656800535494
90,1,"7) $1,000 +",1286.09,1,1,1,Mens E-Mail,1,0,0.0,1,False,True,False,False,0.015158018412178162,1,low,5.0,1.0,0.015158018412178162
91,1,"7) $1,000 +",1285.74,1,1,1,No E-Mail,1,0,0.0,0,False,True,False,False,0.01515696242755157,1,low,5.0,1.0,0.01515696242755157
92,2,"7) $1,000 +",1361.76,1,1,1,Womens E-Mail,0,0,0.0,1,True,False,False,False,0.015134851181326747,1,low,5.0,1.0,0.015134851181326747
93,1,"7) $1,000 +",1276.14,1,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,False,0.015127998277793629,1,low,5.0,1.0,0.015127998277793629
94,1,"7) $1,000 +",1273.04,1,1,1,No E-Mail,1,0,0.0,0,False,True,False,False,0.015118645271100958,1,low,5.0,1.0,0.015118645271100958
95,2,"7) $1,000 +",1814.19,1,1,1,Womens E-Mail,1,0,0.0,1,False,True,False,True,0.015108147403858591,1,low,5.0,1.0,0.015108147403858591
96,2,"7) $1,000 +",1238.32,1,1,1,No E-Mail,0,0,0.0,0,False,True,False,False,0.015101061463194697,1,low,5.0,1.0,0.015101061463194697
97,3,"7) $1,000 +",1319.74,1,1,1,Womens E-Mail,0,0,0.0,1,True,False,False,False,0.015095242551208718,1,low,5.0,1.0,0.015095242551208718
98,10,"7) $1,000 +",1117.16,1,1,1,Mens E-Mail,1,0,0.0,1,True,False,False,False,0.015094227718698883,1,low,5.0,1.0,0.015094227718698883
99,1,"7) $1,000 +",1374.91,1,1,1,Mens E-Mail,0,0,0.0,1,True,False,False,False,0.015087356165245635,1,low,5.0,1.0,0.015087356165245635
100,9,"7) $1,000 +",1143.28,1,1,1,No E-Mail,1,0,0.0,0,True,False,False,False,0.01508586447578032,1,low,5.0,1.0,0.01508586447578032
101,1,"7) $1,000 +",1257.54,1,1,1,Womens E-Mail,0,0,0.0,1,False,True,False,False,0.015071880237637617,1,low,5.0,1.0,0.015071880237637617
102,5,"7) $1,000 +",1137.65,1,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,False,0.015058839714752501,1,low,5.0,1.0,0.015058839714752501
103,8,"7) $1,000 +",1161.95,1,1,1,Womens E-Mail,0,0,0.0,1,True,False,False,False,0.015055023845810023,1,low,5.0,1.0,0.015055023845810023
104,7,"7) $1,000 +",2816.01,0,1,1,Womens E-Mail,0,0,0.0,1,True,False,False,True,0.01502959904351548,1,low,5.0,1.0,0.01502959904351548
105,1,"7) $1,000 +",1236.83,1,1,1,No E-Mail,0,0,0.0,0,False,True,False,False,0.015009396118732723,1,low,5.0,1.0,0.015009396118732723
106,1,"7) $1,000 +",1233.59,1,1,1,Womens E-Mail,0,0,0.0,1,False,True,False,False,0.014999620718189416,1,low,5.0,1.0,0.014999620718189416
107,1,"7) $1,000 +",1345.0,1,1,1,Womens E-Mail,0,0,0.0,1,True,False,False,False,0.014997114736156046,1,low,5.0,1.0,0.014997114736156046
108,2,"7) $1,000 +",1889.06,1,1,1,Mens E-Mail,0,0,0.0,1,True,False,False,True,0.014995396626809054,1,low,5.0,1.0,0.014995396626809054
109,7,"7) $1,000 +",1057.69,1,1,1,Womens E-Mail,0,0,0.0,1,False,True,False,False,0.014991932218163567,1,low,5.0,1.0,0.014991932218163567
110,2,"7) $1,000 +",1883.94,1,1,1,Womens E-Mail,0,0,0.0,1,True,False,False,True,0.014979949080271487,1,low,5.0,1.0,0.014979949080271487
111,3,"7) $1,000 +",1165.85,1,1,1,No E-Mail,1,0,0.0,0,False,True,False,False,0.014969582170563198,1,low,5.0,1.0,0.014969582170563198
112,1,"7) $1,000 +",1220.53,1,1,1,Womens E-Mail,0,0,0.0,1,False,True,False,False,0.014960217406122883,1,low,5.0,1.0,0.014960217406122883
113,5,"7) $1,000 +",1101.83,1,1,1,No E-Mail,0,0,0.0,0,False,True,False,False,0.014950767230968179,1,low,5.0,1.0,0.014950767230968179
114,10,"7) $1,000 +",1528.49,1,1,1,Womens E-Mail,1,0,0.0,1,False,True,False,True,0.014943521175079542,1,low,5.0,1.0,0.014943521175079542
115,1,"7) $1,000 +",1213.99,1,1,1,Womens E-Mail,1,0,0.0,1,False,True,False,False,0.014940485579100288,1,low,5.0,1.0,0.014940485579100288
116,2,"7) $1,000 +",1184.17,1,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,False,0.01493768555596631,1,low,5.0,1.0,0.01493768555596631
117,4,"7) $1,000 +",1237.89,1,1,1,Mens E-Mail,1,0,0.0,1,True,False,False,False,0.014935462870584563,1,low,5.0,1.0,0.014935462870584563
118,12,"6) $750 - $1,000",893.17,1,1,1,No E-Mail,0,0,0.0,0,False,True,False,False,0.01493140843694498,1,low,5.0,1.0,0.01493140843694498
119,1,"7) $1,000 +",1208.43,1,1,1,Womens E-Mail,0,0,0.0,1,False,True,False,False,0.014923710509032146,1,low,5.0,1.0,0.014923710509032146
120,2,"7) $1,000 +",1533.26,1,1,1,No E-Mail,0,0,0.0,0,False,False,False,False,0.014916865155488294,1,low,5.0,1.0,0.014916865155488294
121,1,"7) $1,000 +",1311.69,1,1,1,Womens E-Mail,0,0,0.0,1,True,False,False,False,0.014896615170693857,1,low,5.0,1.0,0.014896615170693857
122,8,"6) $750 - $1,000",992.48,1,1,1,No E-Mail,0,0,0.0,0,False,True,False,False,0.01488235706378651,1,low,5.0,1.0,0.01488235706378651
123,6,"7) $1,000 +",1047.42,1,1,1,No E-Mail,0,0,0.0,0,False,True,False,False,0.014873776745068807,1,low,5.0,1.0,0.014873776745068807
124,2,"7) $1,000 +",1269.65,1,1,1,Mens E-Mail,0,0,0.0,1,True,False,False,False,0.014856946198597164,1,low,5.0,1.0,0.014856946198597164
125,1,"7) $1,000 +",1870.78,1,1,1,No E-Mail,0,0,0.0,0,True,False,False,True,0.014853074191260012,1,low,5.0,1.0,0.014853074191260012
126,1,"7) $1,000 +",1294.3,1,1,1,Mens E-Mail,0,0,0.0,1,True,False,False,False,0.014844147820246918,1,low,5.0,1.0,0.014844147820246918
127,2,"7) $1,000 +",1152.8,1,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,False,0.014843039162434367,1,low,5.0,1.0,0.014843039162434367
128,1,"7) $1,000 +",1755.12,1,1,1,Womens E-Mail,1,0,0.0,1,False,True,False,True,0.014842757502827632,1,low,5.0,1.0,0.014842757502827632
129,8,"7) $1,000 +",1332.97,1,1,1,No E-Mail,0,0,0.0,0,False,False,False,False,0.014835589612483673,1,low,5.0,1.0,0.014835589612483673
130,3,"7) $1,000 +",1118.78,1,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,False,0.01482756732378129,1,low,5.0,1.0,0.01482756732378129
131,11,"6) $750 - $1,000",886.93,1,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,False,0.014825411872550692,1,low,5.0,1.0,0.014825411872550692
132,1,"7) $1,000 +",1173.17,1,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,False,0.014817327600650375,1,low,5.0,1.0,0.014817327600650375
133,2,"7) $1,000 +",1252.08,1,1,1,Mens E-Mail,0,0,0.0,1,True,False,False,False,0.014803935770342265,1,low,5.0,1.0,0.014803935770342265
134,3,"7) $1,000 +",1222.34,1,1,1,Mens E-Mail,0,0,0.0,1,True,False,False,False,0.014801377115122936,1,low,5.0,1.0,0.014801377115122936
135,8,"6) $750 - $1,000",960.01,1,1,1,Womens E-Mail,1,0,0.0,1,False,True,False,False,0.014784391861428138,1,low,5.0,1.0,0.014784391861428138
136,5,"7) $1,000 +",1158.65,1,1,1,Womens E-Mail,1,0,0.0,1,True,False,False,False,0.014783557818175848,1,low,5.0,1.0,0.014783557818175848
137,4,"7) $1,000 +",1187.37,1,1,1,Mens E-Mail,0,0,0.0,1,True,False,False,False,0.014783039032483396,1,low,5.0,1.0,0.014783039032483396
138,9,"7) $1,000 +",1042.17,1,1,1,Womens E-Mail,0,0,0.0,1,True,False,False,False,0.014780805602652667,1,low,5.0,1.0,0.014780805602652667
139,9,"7) $1,000 +",1041.9,1,1,1,Womens E-Mail,1,0,0.0,1,True,False,False,False,0.014779990985940726,1,low,5.0,1.0,0.014779990985940726
140,3,"7) $1,000 +",1098.1,1,1,1,Mens E-Mail,1,0,0.0,1,False,True,False,False,0.014765173717844391,1,low,5.0,1.0,0.014765173717844391
141,4,"7) $1,000 +",1066.05,1,1,1,No E-Mail,0,0,0.0,0,False,True,False,False,0.014755645564089558,1,low,5.0,1.0,0.014755645564089558
142,2,"7) $1,000 +",1122.92,1,1,1,Mens E-Mail,1,0,0.0,1,False,True,False,False,0.014752888246312774,1,low,5.0,1.0,0.014752888246312774
143,9,"7) $1,000 +",1029.96,1,1,1,Mens E-Mail,0,0,0.0,1,True,False,False,False,0.014743966824679286,1,low,5.0,1.0,0.014743966824679286
144,1,"7) $1,000 +",1259.2,1,1,1,Mens E-Mail,0,0,0.0,1,True,False,False,False,0.014738247647694444,1,low,5.0,1.0,0.014738247647694444
145,3,"7) $1,000 +",1201.41,1,1,1,Womens E-Mail,1,0,0.0,1,True,False,False,False,0.014738229234452758,1,low,5.0,1.0,0.014738229234452758
146,4,"7) $1,000 +",1056.46,1,1,1,Womens E-Mail,0,0,0.0,1,False,True,False,False,0.014726711585320948,1,low,5.0,1.0,0.014726711585320948
147,1,"7) $1,000 +",1138.61,1,1,1,No E-Mail,0,0,0.0,0,False,True,False,False,0.014713056661521784,1,low,5.0,1.0,0.014713056661521784
148,1,"7) $1,000 +",1249.7,1,1,1,Mens E-Mail,0,0,0.0,1,True,False,False,False,0.014709585207829815,1,low,5.0,1.0,0.014709585207829815
149,11,"7) $1,000 +",1203.53,1,1,1,Womens E-Mail,0,0,0.0,1,False,False,False,False,0.014706565927735643,1,low,5.0,1.0,0.014706565927735643
150,3,"7) $1,000 +",1074.9,1,1,1,Womens E-Mail,0,0,0.0,1,False,True,False,False,0.014695177022596033,1,low,5.0,1.0,0.014695177022596033
151,2,"7) $1,000 +",1103.47,1,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,False,0.014694205672063611,1,low,5.0,1.0,0.014694205672063611
152,1,"7) $1,000 +",1243.07,1,1,1,Mens E-Mail,0,0,0.0,1,True,False,False,False,0.014689581841903237,1,low,5.0,1.0,0.014689581841903237
153,3,"7) $1,000 +",1070.38,1,1,1,No E-Mail,0,0,0.0,0,False,True,False,False,0.014681539735418334,1,low,5.0,1.0,0.014681539735418334
154,2,"7) $1,000 +",2027.95,1,1,1,No E-Mail,0,0,0.0,0,False,False,False,True,0.014679023004761597,1,low,5.0,1.0,0.014679023004761597
155,9,"6) $750 - $1,000",894.15,1,1,1,No E-Mail,1,0,0.0,0,False,True,False,False,0.014672855592744553,1,low,5.0,1.0,0.014672855592744553
156,5,"7) $1,000 +",1009.71,1,1,1,Womens E-Mail,0,0,0.0,1,False,True,False,False,0.014672832077249266,1,low,5.0,1.0,0.014672832077249266
157,7,"7) $1,000 +",1063.23,1,1,1,Mens E-Mail,0,0,0.0,1,True,False,False,False,0.014670005972080897,1,low,5.0,1.0,0.014670005972080897
158,7,"7) $1,000 +",1061.08,1,1,1,No E-Mail,0,0,0.0,0,True,False,False,False,0.014663519209374691,1,low,5.0,1.0,0.014663519209374691
159,1,"7) $1,000 +",1121.22,1,1,1,Womens E-Mail,0,0,0.0,1,False,True,False,False,0.014660589311074845,1,low,5.0,1.0,0.014660589311074845
160,2,"7) $1,000 +",1090.48,1,1,1,No E-Mail,0,0,0.0,0,False,True,False,False,0.014655013556922399,1,low,5.0,1.0,0.014655013556922399
161,2,"7) $1,000 +",1202.37,1,1,1,Womens E-Mail,0,0,0.0,1,True,False,False,False,0.014653955782376923,1,low,5.0,1.0,0.014653955782376923
162,12,"6) $750 - $1,000",798.71,1,1,1,Mens E-Mail,0,0,0.0,1,False,True,False,False,0.014646413271722569,1,low,5.0,1.0,0.014646413271722569
163,1,"7) $1,000 +",1228.36,1,1,1,Mens E-Mail,0,0,0.0,1,True,False,False,False,0.014645200316597056,1,low,5.0,1.0,0.014645200316597056
164,1,"7) $1,000 +",2746.17,0,1,1,No E-Mail,0,0,0.0,0,False,True,False,True,0.014634506625888843,1,low,5.0,1.0,0.014634506625888843
165,10,"6) $750 - $1,000",850.75,1,1,1,Womens E-Mail,0,0,0.0,1,False,True,False,False,0.014629083366098822,1,low,5.0,1.0,0.014629083366098822
166,1,"7) $1,000 +",1104.59,1,1,1,Womens E-Mail,0,0,0.0,1,False,True,False,False,0.014610414955817077,1,low,5.0,1.0,0.014610414955817077
167,1,"7) $1,000 +",1216.0,1,1,1,Womens E-Mail,0,0,0.0,1,True,False,False,False,0.014607908973783707,1,low,5.0,1.0,0.014607908973783707
168,5,"6) $750 - $1,000",987.13,1,1,1,Womens E-Mail,0,0,0.0,1,False,True,False,False,0.01460470598333944,1,low,5.0,1.0,0.01460470598333944
169,1,"7) $1,000 +",1214.36,1,1,1,No E-Mail,0,0,0.0,0,True,False,False,False,0.014602960931533392,1,low,5.0,1.0,0.014602960931533392
